Vrsta Materijala;Davek;EM;IDENT;OPIS;KOLICINA;A_KOLICINA;PBI_ORD;ID_DOK;Tip Cene;PREV_SKL;CENA;VREDNOST;CENA2
;;KOS;8800755;ROČAJ 120 CM;10;0;2;22009068;;22610;;;
;;KOS;9907118;METLA MIX Z ROČAJEM,MEŠANICA;5;0;2;22009068;;22610;;;
;;KOS;8111740;OMELO ZA PRAH VEČBARVNO PROFI;10;0;2;22009068;;22610;;;
;;KOS;8800747;METLA EXTRA Z ROČAJEM;10;0;2;22009068;;22610;;;
;;KOS;9908730;SMETIŠNICA Z ROČAJEM;10;0;2;22009068;;22610;;;
;;KOS;9915437;METLA SUPERBROOM Z ROČAJEM;10;0;2;22009068;;22610;;;
;;KOS;8800749;METLA STANDARD Z ROČAJEM;10;0;2;22009068;;22610;;;
;;KOS;8112551;PROFICOLOR KRTAČA ŠIROKA Z ROČAJEM PROFI;10;0;2;22009068;;22610;;;
;;KOS;9938152;SIRKOVA METLA;10;0;2;22009068;;22610;;;
;;KOS;8800952;EXTRA GUMI METLA;5;0;2;22009068;;22610;;;
;;KOS;9915709;RIBARICA LESENA Z ROČAJEM;5;0;2;22009068;;22610;;;
;;KOS;8113090;PROFICOLOR ROČNA KRTAČA ZA PRANJE PROFI;10;0;2;22009068;;22610;;;
;;KOS;8800759;SMETIŠNICA Z GUMO+OMELO;24;0;2;22009068;;22610;;;
;;KOS;8800757;SMETIŠNICA + OMELO;12;0;2;22009068;;22610;;;
;;KOS;8800333;MOČO RESA;10;0;2;22009068;;22610;;;
;;KOS;9923007;PMA MOP;10;0;2;22009068;;22610;;;
;;KOS;9912654;MICRO MOP;10;0;2;22009068;;22610;;;
;;M2;9904185;KOFIL F 20/400 ROLE ŠIRINE 2M;40;40;10;22009060;;25410;;;
;;M2;9941067;SILON CLASSIC  0,70/1500 ANTRACIT;75;150;17;22009053;;22210;;;
;;M2;9941067;SILON CLASSIC  0,70/1500 ANTRACIT;75;0;17;22009053;;22210;;;
;;M2;9946643;SILON 602 0,50/1500 ANTRACIT;75;75;18;22009052;;22210;;;
;;KOS;8800955;AKCIJA 2:METLA MULTI+SMETIŠNICA+OMELO;10;0;19;22009051;;22610;;;
;;KOS;9931630;SPIN PMA;2;0;19;22009051;;22610;;;
;;KOS;9943960;SUPERBROOM + HANDLE TR / METLA TELEROČAJ;10;0;19;22009051;;22610;;;
;;KOS;8100100;SPONG-I MAX 10/1 / GOBASTA PROFI;20;0;19;22009051;;22610;;;
;;KOS;8800893;ŠČETKA ZA ČEVLJE Z ROČAJEM;20;0;19;22009051;;22610;;;
;;KOS;8113010;RIBARICA LESENA Z NAVOJEM PROFI;10;0;19;22009051;;22610;;;
;;KOS;9943957;MULTI + HANDLE TR / METLA TELEROČAJ;10;0;19;22009051;;22610;;;
;;KOS;9943954;EXTRA + HANDLE TR / METLA TELEROČAJ;10;0;19;22009051;;22610;;;
;;KOS;9943958;MIX + HANDLE TR / METLA TELEROČAJ;10;0;19;22009051;;22610;;;
;;KOS;9903962;ROČNO OMELO ŽIMA MIX-MEŠANICA;6;0;19;22009051;;22610;;;
;;KOS;9943959;MICRO MOP TR / BRISALO MIKRO TELEROČAJ;20;0;19;22009051;;22610;;;
;;KOS;9943962;PMA MOP TR / BRISALO PMA TELEROČAJ;10;0;19;22009051;;22610;;;
;;KOS;8113030;ROČNA RIBARICA OBLIKA LESENA PROFI;6;0;19;22009051;;22610;;;
;;KOS;9907824;"ŠČETKA ZA RIBANJE ""S"" LESENA";6;0;19;22009051;;22610;;;
;;KOS;8800372;SPONG-I 3/1 / GOBASTA;50;0;19;22009051;;22610;;;
;;KOS;8801081;GOBA ZA AVTO;20;0;19;22009051;;22610;;;
;;KOS;8800686;ORIGINAL 3/1;30;0;19;22009051;;22610;;;
;;KOS;8101851;ORIGINAL MAX 1/1 / VELIKA PROFI;20;0;19;22009051;;22610;;;
;;KOS;9908984;ORIGINAL TEFLON 2/1;10;0;19;22009051;;22610;;;
;;KOS;8800760;OMELO;20;0;19;22009051;;22610;;;
;;KOS;9924667;PMA ČISTILEC ZA OKNA 2 V 1;10;0;19;22009051;;22610;;;
;;KOS;8800701;PVA MOP;30;0;19;22009051;;22610;;;
;;KOS;9931648;SPIN PMA REFILL 2/1 REZERVNA KRPA;2;0;19;22009051;;22610;;;
;;KOS;9942441;10339050 PRED.ZA J.PRIB.5-D POLNI SREBRN;10;0;19;22009051;;22610;;;
;;KOS;9004491;FILTERSKI VLOŽKI ZA NAPE DIM.865X380;20;0;19;22009051;;22610;;;
;;KOS;9004432;FILTERSKI VLOŽKI ZA NAPE DIM. 620X565;15;0;19;22009051;;22610;;;
;;KOS;8800761;WC SET MALI;12;0;19;22009051;;22610;;;
;;KOS;9948388;WC ŠČETKA-JEŽEK PVC PREMER 65 MM RINFUZA;500;0;20;22009050;;22610;;;
;;KOS;9948389;WC ŠČETKA-JEŽEK PVC PREMER 70 MM RINFUZA;500;0;20;22009050;;22610;;;
;;KOS;9948195;VEDRO OKROGLO 12 L RDEČE;5;0;24;22009046;;22610;;;
;;KOS;8800562;AUTO CHAMOIS / ETUI;3;0;26;22009044;;22610;;;
;;KOS;9923893;PMA MOP REFILL REZERVNA KRPA;4;0;26;22009044;;22610;;;
;;KOS;8100731;UNIVERSAL 3/1 / VEČNAMENSKA PROFI;10;0;26;22009044;;22610;;;
;;KOS;8100760;UNIVERSAL MAX 6/1 / VEČNAMENSKA PROFI;10;0;26;22009044;;22610;;;
;;KOS;8101992;INOX 3+1 GRATIS / SILVER PROFI;10;0;26;22009044;;22610;;;
;;KOS;8102295;FLOOR MAX 5/1 / BELA PROFI;10;0;26;22009044;;22610;;;
;;KOS;8110230;WC ŠČETKA-JEŽEK PVC PROFI;5;0;26;22009044;;22610;;;
;;KOS;8110330;WC GARNITURA OGLATA PROFI;5;0;26;22009044;;22610;;;
;;KOS;8110370;WC GARNITURA SKLEDICA PROFI;5;0;26;22009044;;22610;;;
;;KOS;8111675;TALNI BRISALEC BOMBAŽ PROFI;3;0;26;22009044;;22610;;;
;;KOS;8112403;OMELO GONDOLA Z ROČAJEM PROFI;6;0;26;22009044;;22610;;;
;;KOS;8112405;OMELO ZAŠČITA ROBOV HIŠNO Z ROČAJ. PROFI;6;0;26;22009044;;22610;;;
;;KOS;8118052;ZOBOTREBEC TULEC 200 KOM PROFI;40;0;26;22009044;;22610;;;
;;KOS;8118074;NABODALA ZA PEKO NA ŽARU 25CM 50/1 PROFI;20;0;26;22009044;;22610;;;
;;KOS;9918823;20653399 OŽEMALO ZA CITRONE /TRANSPARENT;3;0;26;22009044;;22610;;;
;;KOS;9918211;10801800 5-DELNI SET SKLED OKROG./RAZNOV;4;0;26;22009044;;22610;;;
;;KOS;8102290;JAGER KRPA ZA TLA;20;0;34;22009036;;22610;;;
;;KOS;8100131;SPONG-I 3/1 / GOBASTA PROFI;10;0;34;22009036;;22610;;;
;;KOS;8100151;SPONG-I 5/1 / GOBASTA PROFI;20;0;34;22009036;;22610;;;
;;KOS;9920908;ACTION2GO 10;5;0;34;22009036;;22610;;;
;;KOS;8800373;SPONG-I 5/1 / GOBASTA;10;0;34;22009036;;22610;;;
;;KOS;8801084;GOBA ZA KOPANJE MASAŽNA;10;0;34;22009036;;22610;;;
;;KOS;8801085;ČISTILNA GOBICA 10/1;10;0;34;22009036;;22610;;;
;;KOS;8800685;ORIGINAL 2/1;10;0;34;22009036;;22610;;;
;;KOS;9919437;MAGIC SPONGE 2/1 / RADIRKA;10;0;34;22009036;;22610;;;
;;KOS;8101478;VEČNAMENSKA GOBA PROFI;10;0;34;22009036;;22610;;;
;;KOS;8101843;ORIGINAL 3/1 / PROFI;10;0;34;22009036;;22610;;;
;;KOS;8101848;ORIGINAL 1/1 / PROFI;10;0;34;22009036;;22610;;;
;;KOS;8101986;RUB MAX 12/1 NAMILJENA PROFI;10;0;34;22009036;;22610;;;
;;KOS;9901743;INOX 2/1 / SPIRALNA MREŽICA;20;0;34;22009036;;22610;;;
;;KOS;9901745;METAL 3/1 KOVINSKA MREŽICA;10;0;34;22009036;;22610;;;
;;KOS;9901747;MIX 3/1 MREŽICE;10;0;34;22009036;;22610;;;
;;KOS;9903634;RUB 4/1 BLAZINICE ŽIČNE VOLNE;10;0;34;22009036;;22610;;;
;;KOS;9939405;INOX 3+1 / SPIRALNA MREŽICA;20;0;34;22009036;;22610;;;
;;KOS;8111351;SET SMETIŠNICA-OMELO PROFI;6;0;34;22009036;;22610;;;
;;KOS;8111370;PVC SMETIŠNICA Z GUMI ROBOM PROFI;12;0;34;22009036;;22610;;;
;;KOS;8112131;METLA SUPERBROOM Z ROČAJEM PROFI;6;0;34;22009036;;22610;;;
;;KOS;8112407;OMELO VZOREC CVETJA Z ROČAJEM PROFI;6;0;34;22009036;;22610;;;
;;KOS;8112471;OMELO HIŠNO ŽIMA Z ROČAJEM PROFI;3;0;34;22009036;;22610;;;
;;KOS;8112441;OMELO RH MIX HIŠNO MEŠANICA Z ROČ. PROFI;3;0;34;22009036;;22610;;;
;;KOS;9920613;METLA LISKA Z ROČAJEM- POTISKAN ROČAJ;4;0;34;22009036;;22610;;;
;;KOS;8112512;PROFICOLOR ROČNO OMELO PROFI;5;0;34;22009036;;22610;;;
;;KOS;9914300;MICRO MOP REFILL REZERVNA KRPA;5;0;34;22009036;;22610;;;
;;KOS;9915439;COTTON MOP REFILL REZERVNA KRPA;5;0;34;22009036;;22610;;;
;;KOS;9939999;SPRAY MOP;2;0;34;22009036;;22610;;;
;;KOS;9902252;AKCIJA 5:SET METEL Z SMETIŠNICO;5;0;34;22009036;;22610;;;
;;M2;9921338;KOFIL F 5/100 ROLE ŠIRINE 2 M;80;80;35;22009035;;25410;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;24255;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;21829,5;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;19404;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;16978,5;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;14553;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;12127,5;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;9702;37;22009033;;22230;;;
;;M2;9948240;FLIS/F 0110 110/245;1212,75;0;37;22009033;;22230;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;1000;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;60;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;75;0;43;22009027;;22210;;;
;;M2;9948471;SILON ELAST 0,50/1500 STAR BROWNWHITE;52,5;0;43;22009027;;22210;;;
;;M2;9948472;SILON ELAST 0,50/1500 STAR BROWNWHITE-M.;135;1000;43;22009027;;22210;;;
;;M2;9948472;SILON ELAST 0,50/1500 STAR BROWNWHITE-M.;150;0;43;22009027;;22210;;;
;;M2;9948472;SILON ELAST 0,50/1500 STAR BROWNWHITE-M.;111;0;43;22009027;;22210;;;
;;M2;3000397;FLATEX BELT LT 280*520*46000-O;23,92;1;47;22009023;;22210;;;
;;M2;3000567;FLATEX BELT GG 140*520*54000-O;28,08;1;47;22009023;;22210;;;
;;KOS;9929351;ROČNO OMELO DALJŠI ROČAJ-MEŠANICA;5;0;48;22009022;;22610;;;
;;KOS;8800776;PVA MOP REFILL REZERVNA GOBA;10;0;48;22009022;;22610;;;
;;KOS;8800758;SMETIŠNICA Z GUMO;12;0;48;22009022;;22610;;;
;;KOS;9925410;PEG-I SOFT 20/1 + BSK;6;0;50;22009020;;22610;;;
;;KOS;9925411;PEG-I SOFT 10/1;10;0;50;22009020;;22610;;;
;;KOS;9925414;VRV ZA PERILO Z JEKL.POLNILOM 20M;10;0;50;22009020;;22610;;;
;;KOS;8128018;OBEŠALNIK ZA OBLEKO PVC 10/1 PROFI;5;0;50;22009020;;22610;;;
;;KOS;8111200;FILTER 50X60 CM 2/1;5;0;50;22009020;;22610;;;
;;KOS;327271;FILTERSKI VLOŽKI ZA NAPE620X565 Z OGLJEM;5;0;50;22009020;;22610;;;
;;KOS;8110220;ODMAŠČEVALEC ODTOKOV HEKTOR PROFI;6;0;50;22009020;;22610;;;
;;KOS;8110221;ODMAŠČEVALEC ODTOKOV PROFI;6;0;50;22009020;;22610;;;
;;KOS;9919861;10229539 BANJA OVALNA 65 /GRANIT;2;0;50;22009020;;22610;;;
;;KOS;9917846;10230739 BANJA 65 LINIJA FAVORIT 40L/GRA;3;0;50;22009020;;22610;;;
;;KOS;9942430;10240423 BANJA 55 EASY KIVI;2;0;50;22009020;;22610;;;
;;KOS;9943193;10240465 BANJA 55 EASY / KREM;2;0;50;22009020;;22610;;;
;;KOS;9942433;10241350 BANJA 65 LINIJA 2000, 50L SREBR;2;0;50;22009020;;22610;;;
;;KOS;9942424;10047101 VRČ ZA MERJENJE 1,0L;6;0;50;22009020;;22610;;;
;;KOS;9942435;10335550 ODCEJEVALNIK S PODST. SREBRNA;5;0;50;22009020;;22610;;;
;;KOS;9942437;10336050 PRED.ZA JED.PRIB.5-DELN.MREŽA-S;5;0;50;22009020;;22610;;;
;;KOS;9920053;10664602 PRED.ZA JED.PRIBOR POKROV /BELA;3;0;50;22009020;;22610;;;
;;KOS;9942445;15056250 NOSILKA ZA STEKLENICE SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9919714;10002802 SKLEDA OKROGLA 28/BELA;3;0;50;22009020;;22610;;;
;;KOS;9943156;10002850 SKLEDA OKROGLA 28/SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9942406;10003223 SKLEDA OKROGLA 32-KIVI;3;0;50;22009020;;22610;;;
;;KOS;9943161;10003250 SKLEDA OKROGLA 32/SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9942408;10003650 SKLEDA OKROGLA 36-SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9919729;10004002 SKLEDA OKROGLA 40/BELA;3;0;50;22009020;;22610;;;
;;KOS;9943171;10004023 SKLEDA OKROGLA 40/KIVI;3;0;50;22009020;;22610;;;
;;KOS;9943173;10004050 SKLEDA OKROGLA 40/SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9942410;10004065 SKLEDA OKROGLA 40-BEŠ;3;0;50;22009020;;22610;;;
;;KOS;9942412;10022150 SKLEDA VEČNAMENSKA 10,5L-SREBRN;3;0;50;22009020;;22610;;;
;;KOS;9943179;10022250 SKLEDA VEČNAM.14L/SREBRNA;3;0;50;22009020;;22610;;;
;;KOS;9919745;10023202 SKLEDA ZA MEŠANJE 4L/BELA;3;0;50;22009020;;22610;;;
;;KOS;9943187;10043224 SKLEDA OKROGLA 35 L-2000 /MODRA;3;0;50;22009020;;22610;;;
;;KOS;9942428;10062150 SKLEDA VEČNAM.15L,L-2000 SREBRN;3;0;50;22009020;;22610;;;
;;KOS;9919876;10231139 POMIVALNIK KUHINJSKI 14L /GRAN;3;0;50;22009020;;22610;;;
;;KOS;9919599;10125403 VEDRO ZA GOSPOD.10L /RUMENO;5;0;50;22009020;;22610;;;
;;KOS;9943955;STANDARD + HANDLE TR / METLA TELEROČAJ;10;0;52;22009018;;22610;;;
