VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;CENA2
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;816;0;0;22008390;PEUR;22210;23,21;18939,36;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;302;0;0;22008390;PEUR;22210;28,74;8679,48;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;406;0;0;22008390;PEUR;22210;18,09;7344,54;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1198;1198;0;22008197;PUSD;22210;37,2038;44570,12;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;892;892;0;22008197;PUSD;22210;40,8856;36469,96;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;408;408;0;22008197;PUSD;22210;28,6921;11706,37;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;1080;1080;0;22008197;PUSD;22210;35,3342;38160,89;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;522;522;0;22008197;PUSD;22210;43,116;22506,57;0
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*740*2100-B;1,554;0;0;22008031;PC;22410;103,6036;161;196,42
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1492;1492;0;22007647;PUSD;22210;37,2038;55508,03;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;290;290;0;22007647;PUSD;22210;40,8856;11856,83;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1250;1250;0;22007647;PUSD;22210;28,6921;35865,11;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;368;368;0;22007647;PUSD;22210;26,3715;9704,7;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;826;826;0;22007647;PUSD;22210;35,3342;29186,01;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;294;294;0;22007647;PUSD;22210;43,116;12676,11;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1238;1238;0;22007501;PEUR;22210;23,21;28733,98;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;300;300;0;22007501;PEUR;22210;18,76;5628;10,7604
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*600*1910-B;1,146;1,146;0;22007454;PC;22410;115,0785;131,88;160,8936
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1244;1244;0;22006716;PEUR;22210;23,21;28873,24;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;600;600;0;22006716;PEUR;22210;28,74;17244;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;422;422;0;22006716;PEUR;22210;18,09;7633,98;0
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*600*1910-B;1,146;1,146;0;22006629;PC;22410;115,0785;131,88;160,8936
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*170*6130-B;1,0421;1,0421;0;22006629;PC;22410;233,7588;243,6;297,192
IZD;22;KOS;9937689;TT ROBOT S2;20;20;0;22006321;PC;22610;50;1000;61
IZD;22;KOS;9935650;TT ROBOT B/W;23;23;0;22006321;PC;22610;50;1150;61
IZD;22;KOS;9940096;PMA H10;30;30;0;22006321;PC;22610;10;300;12,2
IZD;22;KOS;9931630;SPIN PMA;16;16;0;22006321;PC;22610;20;320;24,4
IZD;22;KOS;9936792;SPIN INOX;23;23;0;22006321;PC;22610;20;460;24,4
IZD;22;KOS;9939600;SPIN 3D;29;29;0;22006321;PC;22610;10;290;12,2
IZD;22;KOS;9936790;SPIN MICRO II;9;9;0;22006321;PC;22610;10;90;12,2
IZD;22;KOS;9942885;AROMA DIFUSSER ULTRASONIC 4IN1;15;15;0;22006321;PC;22610;10;150;12,2
IZD;22;KOS;9938554;MASSAGE EYE + MP3 / OČALA;10;10;0;22006321;PC;22610;10;100;12,2
IZD;22;KOS;9938555;MASSAGE NECK / OVRATNICA;10;10;0;22006321;PC;22610;10;100;12,2
IZD;22;KOS;9939073;TT ROBOT S2 ACCU;5;5;0;22006321;PC;22610;10;50;12,2
IZD;22;KOS;9935652;TT ROBOT ACCU;5;5;0;22006321;PC;22610;10;50;12,2
IZD;22;KOS;9934656;PMA H2O 5X1 REFILL;5;5;0;22006321;PC;22610;5;25;6,1
IZD;22;KOS;9931648;SPIN PMA REFILL 2/1;24;24;0;22006321;PC;22610;5;120;6,1
IZD;22;KOS;9939643;SPIN 3D REFILL 2/1;30;30;0;22006321;PC;22610;5;150;6,1
IZD;22;KOS;9936793;MICRO SPIN II - REZERVA 2/1;10;10;0;22006321;PC;22610;5;50;6,1
IZD;22;KOS;9934105;RZ SPIN PMA ROČAJ;7;7;0;22006321;PC;22610;5;35;6,1
IZD;22;KOS;9934106;RZ SPIN PMA PLOŠČA;5;5;0;22006321;PC;22610;5;25;6,1
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1072;1072;0;22006276;PUSD;22210;37,2038;39882,44;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;300;300;0;22006276;PUSD;22210;40,8856;12265,68;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1676;1676;0;22006276;PUSD;22210;28,6921;48087,94;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;314;314;0;22006276;PUSD;22210;26,3715;8280,64;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;422;422;0;22006276;PUSD;22210;35,3342;14911,01;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;590;590;0;22006276;PUSD;22210;43,116;25438,46;0
IZD;0;M2;9914691;Single oak tan - 4,3 mm;74,44;74,44;0;22005844;PUSD;22210;194,4808;14477,15;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;840;820;0;22005841;PUSD;22210;37,2038;31251,17;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;520;520;0;22005841;PUSD;22210;40,8856;21260,52;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1631,68;1631,68;0;22005841;PUSD;22210;28,6921;46816,3;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;788;788;0;22005841;PUSD;22210;25,9533;20451,17;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;804;804;0;22005841;PUSD;22210;35,3342;28408,66;0
IZD;0;M2;9941367;SILON N-500 FF 2.80/1500 ANTRACIT;1368;1368;0;22005759;PEUR;22210;5,16;7058,88;0
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*380*4940-B;1,8772;1,8772;0;22005646;PC;22410;208,55;391,49;477,6178
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*200*5870-B;2,348;2,348;0;22005613;PC;22410;388,3305;911,8;556,198
IZD;22;M2;9931789;TR.T. 2M5 UO-U2 HP VL BLUE A 125*1600-B;0,2;0,2;0;22005613;PC;22410;689,85;137,97;168,3234
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*170*6615-B;1,12455;1,12455;0;22005613;PC;22410;245,9206;276,55;337,391
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1648;1648;0;22005389;PEUR;22210;23,21;38250,08;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;300;300;0;22005389;PEUR;22210;28,74;8622;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;842;838;0;22005389;PEUR;22210;17,85;15029,7;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;392;392;0;22005389;PEUR;22210;18,35;7193,2;10,7604
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*555*1890-B;3,14685;3,14685;0;22005120;PC;22410;93,1217;293,04;119,1696
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*380*4940-B;1,8772;1,8772;0;22005120;PC;22410;208,55;391,49;477,6178
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;554;554;0;22005026;PEUR;22210;23,21;12858,34;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;550;550;0;22005026;PEUR;22210;28,74;15807;0
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*280*4494-B;1,25832;1,25832;0;22004893;PC;22410;252,4477;317,66;387,5452
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;840;810;0;22004802;PEUR;22210;18,09;15195,6;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1674;1674;0;22004802;PEUR;22210;23,21;38853,54;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;872;872;0;22004802;PEUR;22210;28,74;25061,28;0
IZD;22;M2;9945003;TR.TRAK PT1.2 U2-U5*38*416-B;0,15808;0,15808;0;22004707;PC;22410;505,4403;79,9;9,7478
IZD;22;M2;9945003;TR.TRAK PT1.2 U2-U5*38*375-B;0,1425;0,1425;0;22004707;PC;22410;544,5614;77,6;9,4672
IZD;22;M2;9945003;TR.TRAK PT1.2 U2-U5*38*906-B;0,17214;0,17214;0;22004707;PC;22410;281,7474;48,5;11,834
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*480*8302-B;3,98496;3,98496;0;22004595;PC;22410;144,403;575,44;702,0368
IZD;22;M2;9931789;TR.T. 2M5 UO-U2 HP VL BLUE A 175*3150-B;0,55125;0,55125;0;22004595;PC;22410;114,1769;62,94;76,7868
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1074;1074;0;22004563;PUSD;22210;37,2038;39956,85;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;1684;1684;0;22004563;PUSD;22210;40,8856;68851,37;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;836;836;0;22004563;PUSD;22210;28,6921;23986,58;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;296;296;0;22004563;PUSD;22210;43,116;12762,35;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1262;1262;0;22004450;PUSD;22210;37,2038;46951,16;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;902;902;0;22004450;PUSD;22210;40,8856;36878,82;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1550;1550;0;22004450;PUSD;22210;28,6921;44472,73;0
IZD;22;M2;9945002;TR.TRAK 2M8 UO-V5 A 570*1900-B;1,083;1,083;0;22004295;PC;22410;68,8643;74,58;90,9876
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*740*2100-B;1,554;1,554;0;22004295;PC;22410;103,6036;161;196,42
IZD;22;M2;9945002;TR.TRAK 2M8 UO-V5 A 150*1465-B;0,4395;0,4395;0;22004295;PC;22410;235,8589;103,66;63,2326
IZD;0;KOS;9939724;"YRM 463 - Bat.past.belt - 153.5"" x 30""";14,85519;14,85519;0;22004046;PUSD;22210;262,2241;3895,39;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;416;416;0;22003955;PEUR;22210;18,09;7525,44;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;770;770;0;22003955;PEUR;22210;23,21;17871,7;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;886;886;0;22003955;PEUR;22210;28,74;25463,64;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1130;1130;0;22003194;PUSD;22210;37,2038;42040,26;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;902;902;0;22003194;PUSD;22210;40,8856;36878,82;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;266;266;0;22003194;PUSD;22210;25,9533;6903,57;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;766;766;0;22003194;PUSD;22210;28,6921;21978,14;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;428;428;0;22003194;PUSD;22210;35,3342;15123,02;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;600;600;0;22003194;PUSD;22210;43,116;25869,62;0
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*200*5870-B;1,174;1,174;0;22003178;PC;22410;388,3305;455,9;556,198
IZD;22;M2;9931789;TR.T. 2M5 UO-U2 HP VL BLUE A 640*2095-B;1,3408;1,3408;0;22003178;PC;22410;144,3317;193,52;236,0944
IZD;22;M2;9931789;TR.T. 2M5 UO-U2 HP VL BLUE A 245*2420-B;0,5929;0,5929;0;22003178;PC;22410;263,9568;156,5;190,93
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*420*11465-B;4,8153;4,8153;0;22003178;PC;22410;204,98;987,04;1204,1888
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;900;894;0;22003018;PEUR;22210;26,45;23805;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;400;400;0;22002982;PEUR;22210;18,09;7236;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1536;1536;0;22002982;PEUR;22210;23,21;35650,56;0
IZD;0;M2;9914076;NOVBELT 600 HC 5,5/2000 BLACK;356;356;0;22002982;PEUR;22210;28,74;10231,44;0
IZD;0;M2;9914085;NOVBELT 400 HC 4,0/2000 BLACK;1022;1022;0;22002976;PUSD;22210;37,2038;38022,26;0
IZD;0;M2;9914080;NOVBELT 600 NA 5,5/2000 GREEN;914;914;0;22002976;PUSD;22210;40,8856;37369,45;0
IZD;0;M2;9914095;NOVBELT 250 W 2,5/2000 WHITE;802;802;0;22002976;PUSD;22210;25,9533;20814,51;0
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1136;1136;0;22002976;PUSD;22210;28,6921;32594,21;0
IZD;0;M2;9914092;NOVBELT 400 NA 4,0/2000 GREEN;300;300;0;22002976;PUSD;22210;35,3342;10600,25;0
IZD;0;M2;9914691;Single oak tan - 4,3 mm;74,44;74,44;0;22002975;PUSD;22210;194,4808;14477,15;0
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*210*4640-B;1,9488;1,9488;0;22002752;PC;22410;347,4651;677,14;413,0554
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*200*5870-B;2,348;2,348;0;22002752;PC;22410;388,3305;911,8;556,198
IZD;22;M2;9945002;TR.TRAK 2M8 UO-V5 A 570*1900-B;1,083;1,083;0;22002752;PC;22410;68,8643;74,58;90,9876
IZD;22;M2;9945002;TR.TRAK 2M8 UO-V5 A 150*1465-B;0,4395;0,4395;0;22002752;PC;22410;235,8589;103,66;63,2326
IZD;22;M2;9945004;TR.TRAK 2T12 V5 U3 FD2.8*350*5820-B;4,074;4,074;0;22002752;PC;22410;187,9627;765,76;467,1136
IZD;22;M2;9930760;TR.TRAK 2M8 U0-U2*555*1890-B;2,0979;2,0979;0;22002752;PC;22410;93,1217;195,36;119,1696
IZD;0;M2;9914102;NOVBELT 250 HC 2,5/2000 BLACK;1260;1260;0;22002541;PEUR;22210;17,85;22491;0
